date,volume
8/23/2021,288009
8/24/2021,48503
8/25/2021,1530513
8/26/2021,8001
8/27/2021,681010
8/28/2021,8001
8/30/2021,455508
8/31/2021,15040006
9/1/2021,1560525
9/2/2021,3392057
9/3/2021,15024004
9/7/2021,201019
9/8/2021,137508
9/9/2021,512509
9/10/2021,568514
9/13/2021,193515
9/14/2021,836518
9/15/2021,200522
9/16/2021,410536
9/17/2021,316025
9/20/2021,1263013
9/22/2021,88508
9/23/2021,1487514
9/24/2021,575022
9/27/2021,965518
9/28/2021,163509
9/29/2021,56504
9/30/2021,433545
10/1/2021,410519
10/4/2021,343519
10/5/2021,336512
10/6/2021,1120015
10/7/2021,689508
10/8/2021,16002
10/12/2021,105007
10/13/2021,195513
10/15/2021,1488012
10/18/2021,15511516
10/19/2021,286516
10/20/2021,860515
10/21/2021,88508
10/22/2021,235518
10/23/2021,8001
10/25/2021,210511
10/26/2021,170009
10/27/2021,172007
10/28/2021,1027528
10/29/2021,633019
11/1/2021,889507
11/2/2021,219516
11/3/2021,40005
11/4/2021,460513
11/5/2021,290007
11/6/2021,8001
11/8/2021,1789530
11/9/2021,186011
11/10/2021,579509
11/11/2021,80507
11/12/2021,153510
11/15/2021,35874528
11/16/2021,156012
11/17/2021,247507
11/18/2021,599023
11/19/2021,677020
11/23/2021,96509
11/24/2021,387013
11/26/2021,1480035
11/29/2021,56504
11/30/2021,139506
12/1/2021,336512
12/2/2021,147010
12/3/2021,104510
12/5/2021,8001
12/6/2021,186011
12/7/2021,399004
12/8/2021,16002
12/9/2021,152019
12/10/2021,147010
12/13/2021,48503
12/14/2021,209517
12/15/2021,169015
12/16/2021,397029
12/17/2021,1038010
12/20/2021,1979516
12/21/2021,2337516
12/22/2021,1711518
12/23/2021,223007
12/25/2021,8001
12/27/2021,190007
12/28/2021,1676022
12/29/2021,3056509
12/30/2021,1861511
12/31/2021,180008
1/3/2022,170506
1/4/2022,64008
1/5/2022,204508
1/6/2022,2895517
1/7/2022,752013
1/10/2022,1806525
1/11/2022,871010
1/12/2022,822009
1/13/2022,96012
1/14/2022,443534
1/15/2022,32004
1/18/2022,217518
1/19/2022,544513
1/20/2022,360018
1/21/2022,7587018
1/22/2022,65002
1/24/2022,376018
1/25/2022,287510
1/26/2022,3242019
1/27/2022,1426517
1/28/2022,769518
1/31/2022,569019
2/1/2022,264006
2/2/2022,252017
2/3/2022,56007
2/4/2022,146006
2/7/2022,1143018
2/8/2022,129507
2/9/2022,19925024
2/10/2022,9163019
2/11/2022,443018
2/14/2022,267015
2/15/2022,500021
2/16/2022,72506
2/17/2022,454537
2/18/2022,179511
2/22/2022,120015
2/23/2022,121009
2/24/2022,259014
2/25/2022,96509
2/28/2022,1780054
3/2/2022,1125002
3/3/2022,566004
3/4/2022,40502
3/14/2022,8001
3/17/2022,3000001
3/18/2022,8001
