disclosure_year,disclosure_date,transaction_date,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,party,,
2020,2020-04-28,2020-02-25,COO,"The Cooper Companies, Inc.",sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,TRUE,Democrat,,
2020,2020-04-28,2020-02-24,UNVR,Univar Solutions Inc.,sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-17,USFD,US Foods Holding Corp.,sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-25,MTN,"Vail Resorts, Inc.",sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-26,VLO,Valero Energy Corporation,sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-18,WAB,Westinghouse air Brake Technologies Corporation,sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-18,WH,"Wyndham Hotels & Resorts, Inc.",sale_full,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-17,WH,"Wyndham Hotels & Resorts, Inc.",sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-02-05,XPO,"XPO Logistics, Inc.",sale_partial,"$8,001 ",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-16,BRK.B,Berkshire Hathaway Inc. New,sale_full,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016500.pdf,FALSE,Democrat,,
2020,2020-04-28,2020-03-13,BSX,Boston Scientific Corporation,sale_partial,"$1,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016501.pdf,TRUE,Democrat,,
2020,2020-04-28,2020-03-13,SPCE,"Virgin Galactic Holdings, Inc.",sale_partial,"$1,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016501.pdf,FALSE,Democrat,,
2020,2020-09-22,2020-08-17,--,Metallic Minerals Corp.,sale_partial,"$175,001 ",Mr. TJ John (Tj) Cox,CA21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017403.pdf,TRUE,Democrat,,
2021,2021-03-23,2021-01-27,--,Zimmer Biomet Holdings,sale_partial,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018447.pdf,FALSE,Democrat,,
2021,2021-03-23,2021-02-08,--,Zimmer Biomet Holdings,sale_full,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018447.pdf,FALSE,Democrat,,
2021,2021-03-23,2021-02-08,--,Zimmer Biomet Holdings,purchase,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018448.pdf,FALSE,Democrat,,
2021,2021-03-23,2021-02-04,DD,"DuPont De Nemours, Inc",sale_full,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018449.pdf,FALSE,Democrat,,
2021,2021-03-23,2021-02-19,--,Celegene Corp,sale_full,"$32,501 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018450.pdf,FALSE,Democrat,,
2021,2021-03-23,2021-02-16,--,Outfront Media,sale_full,"$32,501 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018450.pdf,FALSE,Democrat,,
2021,2021-03-23,2021-03-15,COLD,Americold Realty Trust Common Shares,sale_full,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018451.pdf,FALSE,Democrat,,
2021,2021-03-23,2021-03-15,COLD,Americold Realty Trust Common Shares,sale_full,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018452.pdf,FALSE,Democrat,,
2021,2021-03-23,2021-03-11,ADBE,Adobe Inc,purchase,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,FALSE,Democrat,,
2021,2021-03-23,2021-03-12,COLD,Americold Realty Trust Common Shares,sale_partial,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,TRUE,Democrat,,
2021,2021-03-23,2021-03-15,COLD,Americold Realty Trust Common Shares,sale_full,"$32,501 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,TRUE,Democrat,,
2021,2021-03-23,2021-03-11,NVDA,NVIDIA Corporation,purchase,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018453.pdf,FALSE,Democrat,,
2021,2021-01-26,2021-01-22,DUK,Duke Energy Corpoation,purchase,"$8,001 ",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,FALSE,Republican,,
2021,2021-01-26,2021-01-22,LEE,"Lee Enterprises, Inc.",sale_full,"$8,001 ",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,FALSE,Republican,,
2021,2021-01-26,2021-01-22,LEE,"Lee Enterprises, Inc.",sale_full,"$8,001 ",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,FALSE,Republican,,
2021,2021-01-26,2020-11-24,LEE,"Lee Enterprises, Inc.",purchase,"$8,001 ",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,FALSE,Republican,,
2021,2021-01-26,2021-01-21,--,Spectra Energy Capital LLC,sale_full,"$8,001 ",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,TRUE,Republican,,
2021,2021-01-26,2020-12-01,VTRS,Vitatris Inc.,sale_full,"$8,001 ",Hon. Mo Brooks,AL05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018077.pdf,FALSE,Republican,,
2021,2021-01-26,2021-01-12,GM,General Motors Company,purchase,"$1,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,FALSE,Democrat,,
2021,2021-01-26,2021-01-12,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,FALSE,Democrat,,
2021,2021-01-26,2021-01-14,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,FALSE,Democrat,,
2021,2021-01-26,2021-01-15,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,FALSE,Democrat,,
2021,2021-01-26,2021-01-11,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018081.pdf,FALSE,Democrat,,
2021,2021-01-26,2021-01-12,GM,General Motors Company,purchase,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018082.pdf,FALSE,Democrat,,
2021,2021-01-26,2021-01-12,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018082.pdf,FALSE,Democrat,,
2021,2021-01-26,2021-01-14,JIH,"Juniper Industrial Holdings, Inc. Class A",purchase,"$1,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018082.pdf,FALSE,Democrat,,
2021,2021-01-26,2021-01-11,GIS,General Mills,sale_full,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018083.pdf,FALSE,Democrat,,
2021,2021-01-26,2021-01-12,GM,General Motors Company,purchase,"$1,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018083.pdf,FALSE,Democrat,,
2021,2021-01-26,2021-01-11,TMUS,T-Mobile USA,purchase,"$8,001 ",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018083.pdf,FALSE,Democrat,,
2021,2021-01-26,2020-07-02,COST,Costco Wholesale Corp,purchase,"$8,001 ",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE,Republican,,
2021,2021-01-26,2020-07-02,CCI,Crown Castle International Corp,purchase,"$8,001 ",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE,Republican,,
2021,2021-01-26,2020-07-02,CVS,CVS Health Corporation,sale_full,"$8,001 ",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE,Republican,,
2021,2021-01-26,2020-07-02,DUK,Duke Energy Corp,sale_full,"$8,001 ",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE,Republican,,
2021,2021-01-26,2020-07-02,HD,Home Depot,purchase,"$8,001 ",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE,Republican,,
2021,2021-01-26,2020-07-02,KMB,Kimberly-Clark Corp,purchase,"$8,001 ",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE,Republican,,
2021,2021-01-26,2020-07-02,RGLD,Royal Gold Inc,purchase,"$8,001 ",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE,Republican,,
2021,2021-01-26,2020-07-02,V,Visa Inc,purchase,"$8,001 ",Hon. Robert J. Wittman,VA01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018052.pdf,FALSE,Republican,,
2021,2021-02-25,2021-01-14,--,Oregon State Health and Science University,purchase,"$32,501 ",Hon. Vern Buchanan,FL16,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018280.pdf,FALSE,Republican,,
2021,2021-02-25,2021-01-21,CI,Cigna Corporation,sale_partial,"$8,001 ",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,FALSE,Democrat,,
2021,2021-02-25,2021-02-10,CL,Colgate-Palmolive Company,purchase,"$8,001 ",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,FALSE,Democrat,,
2021,2021-02-25,2021-01-28,CL,Colgate-Palmolive Company,purchase,"$8,001 ",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,FALSE,Democrat,,
2021,2021-02-25,2021-01-28,PPG,"PPG Industries, Inc.",sale_partial,"$8,001 ",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,FALSE,Democrat,,
2021,2021-02-25,2021-02-10,TRV,"The Travelers Companies, Inc.",sale_partial,"$8,001 ",Hon. Lois Frankel,FL21,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018224.pdf,FALSE,Democrat,,
