name,parent,value
CIEN,Origin,8001
NI,Origin,8001
SYNH,Origin,8001
NMIH,Origin,8001
FHN,Origin,8001
ESTC,Origin,8001
FVRR,Origin,8001
RARE,Origin,8001
APCD,Origin,8001
ATRC,Origin,8001
SF,Origin,8001
LINK-USD,Origin,8001
MRVL,Origin,8001
ASMB,Origin,8001
RETA,Origin,8001
SRNE,Origin,8001
WAIR,Origin,8001
MKTX,Origin,8001
AWK,Origin,8001
XEC,Origin,8001
CMS,Origin,8001
CCK,Origin,8001
EMN,Origin,8001
EHC,Origin,8001
FUPBY,Origin,8001
HRC,Origin,8001
LRLCY,Origin,8001
NEM,Origin,8001
NUE,Origin,8001
CTBI,Origin,8001
RBCAA,Origin,8001
CTVA,Origin,8001
AGR,Origin,8001
CREE,Origin,8001
IPG,Origin,8001
MKC,Origin,8001
VFC,Origin,8001
MPW,Origin,8001
BWXT,Origin,8001
ENR,Origin,8001
WTRG,Origin,8001
GLIBA,Origin,8001
LH,Origin,8001
LBDAV,Origin,8001
LSXMK,Origin,8001
SMG,Origin,8001
WTFC,Origin,8001
BOWX,Origin,8001
YTRA,Origin,8001
CHRW,Origin,8001
LB,Origin,8001
MAC,Origin,8001
CTRCF,Origin,8001
QGEN,Origin,8001
MBB,Origin,8001
IGLB,Origin,8001
EMXC,Origin,8001
IBDP,Origin,8001
IBTD,Origin,8001
MDYV,Origin,8001
BGFV,Origin,8001
SDC,Origin,8001
CIM,Origin,8001
FEI,Origin,8001
ADP,Origin,8001
KRR,Origin,8001
ALL,Origin,8001
BAFWX,Origin,8001
IMAX,Origin,8001
OXBR,Origin,8001
OWSMX,Origin,8001
AROC,Origin,8001
CODYY,Origin,8001
TKOMY,Origin,8001
EOG,Origin,8001
WRK.V,Origin,8001
LVMHF,Origin,8001
GRUB,Origin,8001
HUBS,Origin,8001
SHOP,Origin,8001
SLAB,Origin,8001
TWLO,Origin,8001
GME,Origin,8001
ALFY,Origin,8001
AJG,Origin,8001
LARCX,Origin,8001
HTLD,Origin,8001
NSC,Origin,8001
FWONK,Origin,8001
OTIS,Origin,8001
MCO,Origin,8001
NLY,Origin,8001
CENTA,Origin,8001
DRQ,Origin,8001
HOFV,Origin,8001
BCPC,Origin,8001
CCXI,Origin,8001
ITCI,Origin,8001
ALGT,Origin,8001
BXP,Origin,8001
CPRI,Origin,8001
CAH,Origin,8001
CF,Origin,8001
COTY,Origin,8001
GBCI,Origin,8001
HOG,Origin,8001
HST,Origin,8001
