ticker,
WSM," $8,001.00 "
WRK," $40,005.00 "
WCC, $-   
WAIR, $-   
VNT," $16,002.00 "
VRT, $-   
GT," $8,001.00 "
AZEK, $-   
SVC, $-   
ROP," $193,515.00 "
RLGY," $24,003.00 "
MAT, $-   
MKTX," $48,006.00 "
LESL, $-   
GO," $16,002.00 "
FLT," $24,003.00 "
FISV," $72,009.00 "
DRE," $16,002.00 "
DLTR," $96,509.00 "
DFS," $64,503.00 "
DLR," $48,006.00 "
CRWD," $381,507.00 "
CHNG," $8,001.00 "
CHX, $-   
CDW," $8,001.00 "
CACI," $32,004.00 "
BIO," $32,004.00 "
AHCO, $-   
KMI," $115,006.00 "
OHI," $207,502.00 "
SO," $1,386,024.00 "
AMAT," $24,003.00 "
TEAM," $32,004.00 "
BAC," $284,518.00 "
BRK.A," $83,002.00 "
DHR," $80,010.00 "
DIN," $24,003.00 "
HASI," $16,002.00 "
ICE," $49,007.00 "
LVS," $40,005.00 "
MNST," $16,002.00 "
PEP," $176,519.00 "
UNP," $129,010.00 "
UNH," $405,527.00 "
ZM," $204,508.00 "
IBM," $136,514.00 "
LHX," $80,507.00 "
PSQ," $97,006.00 "
KTOS," $47,012.00 "
ACHC," $8,001.00 "
ADDDYY," $32,501.00 "
A," $24,003.00 "
AAGIY," $172,007.00 "
AL," $8,001.00 "
ALC," $40,502.00 "
ALFVY," $105,504.00 "
BABA," $1,092,545.00 "
ADS," $24,003.00 "
ABEV," $48,503.00 "
AMT," $56,504.00 "
AWK," $24,003.00 "
AON," $56,007.00 "
ATH," $8,001.00 "
ATLKY," $148,004.00 "
BLL," $56,007.00 "
BBVA," $105,007.00 "
BAX," $32,004.00 "
BBY," $73,003.00 "
BA," $491,023.00 "
AVGO," $91,003.00 "
CDNS," $72,506.00 "
CNI," $199,004.00 "
SCHW," $112,511.00 "
CHTR," $56,007.00 "
CHKP," $180,505.00 "
CHGCY," $123,504.00 "
XEC," $8,001.00 "
CTAS," $16,002.00 "
CMS," $32,004.00 "
CLGX," $8,001.00 "
CCK," $8,001.00 "
DBSDY," $113,505.00 "
FANG," $16,002.00 "
DXC," $24,003.00 "
EMN," $16,002.00 "
ETN," $129,010.00 "
EW," $40,005.00 "
EMR," $48,006.00 "
EHC," $16,002.00 "
EQIX," $40,005.00 "
EXPE," $16,002.00 "
FANUY," $89,005.00 "
FDX," $549,021.00 "
FITB," $16,002.00 "
FMX," $81,004.00 "
FUPBY," $99,004.00 "
GLPI," $8,001.00 "
HDB," $115,503.00 "
HRC," $32,004.00 "
HSBC," $290,007.00 "
HUN," $16,002.00 "
IBN," $105,504.00 "
IDXXX," $8,001.00 "
PODD," $32,501.00 "
ITUB," $97,006.00 "
JBL," $8,001.00 "
KKR," $40,502.00 "
KMTUY," $48,503.00 "
KUBTY," $48,503.00 "
AIQUY," $64,505.00 "
LYV," $48,503.00 "
LZAGY," $56,504.00 "
LRLCY," $97,503.00 "
LUKOY," $81,004.00 "
LULU," $48,006.00 "
LYB," $16,002.00 "
MMC," $40,502.00 "
MCHP," $16,002.00 "
MOS," $40,005.00 "
MSI," $48,503.00 "
MSCI," $169,015.00 "
NTAP," $1,150,058.00 "
NYT," $107,502.00 "
NEM," $56,007.00 "
NOC," $72,506.00 "
NVZMY," $48,503.00 "
NUE," $56,504.00 "
NVR," $8,001.00 "
OKTA," $8,001.00 "
OMF," $8,001.00 "
PH," $24,003.00 "
PSX," $48,006.00 "
PNC," $188,009.00 "
PLD," $48,503.00 "
RMD," $8,001.00 "
RIO," $48,503.00 "
ROK," $32,004.00 "
RDS.B," $121,506.00 "
SC," $8,001.00 "
SAP," $89,005.00 "
SBGSY," $32,501.00 "
SEE," $56,504.00 "
ST," $8,001.00 "
SGSOY," $56,504.00 "
SONVY," $89,005.00 "
SIVB," $8,001.00 "
SYIEY," $73,003.00 "
SYF," $16,002.00 "
SNPS," $24,003.00 "
SSMXY," $81,004.00 "
TGT," $113,008.00 "
TCEHY," $249,006.00 "
TRU," $16,002.00 "
TFC," $161,511.00 "
USB," $235,518.00 "
UNICY," $40,502.00 "
UL," $121,009.00 "
VMC," $16,002.00 "
WMB," $40,502.00 "
WYND," $16,002.00 "
YNDX," $231,505.00 "
ZG," $8,001.00 "
FNRVGX," $32,501.00 "
SKIN, $-   
WYNN," $139,009.00 "
ADTN," $8,001.00 "
ARCC," $16,002.00 "
DTEGY," $8,001.00 "
GE," $266,021.00 "
SANM," $32,501.00 "
WFC," $991,025.00 "
BXS," $1,133,008.00 "
CTBI, $-   
RBCAA," $8,001.00 "
BMY," $247,010.00 "
AEP," $72,506.00 "
CTVA," $32,004.00 "
IR," $32,004.00 "
STM," $32,501.00 "
AFL," $99,004.00 "
AZN," $48,503.00 "
AVB," $48,503.00 "
AGR," $40,502.00 "
BLKB," $32,501.00 "
CREE," $48,503.00 "
FSLR," $81,004.00 "
GILD," $96,509.00 "
HXL," $72,506.00 "
IFF," $223,504.00 "
IPG," $40,502.00 "
JLL," $32,501.00 "
LW," $16,002.00 "
LHCG," $999,008.00 "
LIN," $222,508.00 "
LPLA," $32,501.00 "
MKC," $32,501.00 "
OMCL," $75,001.00 "
ORA," $32,501.00 "
DGX," $99,004.00 "
RGA," $40,502.00 "
SYK," $80,507.00 "
TTEK," $40,502.00 "
TSCO," $48,503.00 "
VFC," $121,506.00 "
ENB," $191,003.00 "
GEL," $525,003.00 "
NS," $1,500,003.00 "
PSXP," $750,001.00 "
AMJ," $16,002.00 "
MDY, $-   
MPW, $-   
HII," $8,001.00 "
NGLS," $32,501.00 "
HCA," $40,005.00 "
BWXT," $8,001.00 "
XRAY," $24,003.00 "
FRC," $16,002.00 "
NSP," $8,001.00 "
ZBH," $32,004.00 "
GD," $32,004.00 "
REYN," $8,001.00 "
SU," $24,003.00 "
PHG," $8,001.00 "
NTRS," $16,002.00 "
FTDR," $8,001.00 "
ALLY," $8,001.00 "
AMP, $-   
ARMK," $16,002.00 "
AZO," $113,505.00 "
AVTR," $8,001.00 "
BFAM," $8,001.00 "
CHDN," $40,005.00 "
CAG," $16,002.00 "
DOV," $16,002.00 "
ENR," $16,002.00 "
ENTG," $72,009.00 "
EFX," $24,003.00 "
WTRG," $8,001.00 "
FEYE," $8,001.00 "
FND," $8,001.00 "
FMC, $-   
GLIBA," $8,001.00 "
GDDY," $470,510.00 "
GPK," $48,006.00 "
HDS," $56,007.00 "
KEYS," $8,001.00 "
LH," $24,003.00 "
LBDAV, $-   
LSXMK," $24,003.00 "
PFGC," $16,002.00 "
PLNT," $97,006.00 "
PII," $16,002.00 "
PHM," $48,006.00 "
RHI," $40,502.00 "
SMG," $8,001.00 "
SERV," $8,001.00 "
SHW," $40,005.00 "
SIRI," $223,005.00 "
SSNC," $72,009.00 "
TFX," $16,002.00 "
TJX," $210,518.00 "
TWTR," $128,513.00 "
WDC," $32,004.00 "
WDAY," $8,001.00 "
MMM," $80,507.00 "
CNP," $16,002.00 "
CMA," $16,002.00 "
DTE," $24,003.00 "
FLS, $-   
HIG," $24,003.00 "
IVZ," $16,002.00 "
L," $24,003.00 "
PSA," $24,003.00 "
SNE," $40,005.00 "
WTFC, $-   
OLED," $36,008.00 "
REGL," $16,002.00 "
FPE, $-   
PFFV, $-   
VRP, $-   
BBVLX," $16,002.00 "
BBVSX," $16,002.00 "
VTV," $8,001.00 "
BOWX," $8,001.00 "
GPRO, $-   
LMND," $24,003.00 "
PTON," $89,005.00 "
SPOT," $123,504.00 "
TGNA," $73,003.00 "
UA," $8,001.00 "
YTRA, $-   
AAWW, $-   
ALXN," $172,007.00 "
CHRW, $-   
CTL," $16,002.00 "
CYRX," $64,008.00 "
F," $169,015.00 "
GMED," $32,004.00 "
HMN," $8,001.00 "
IART," $16,002.00 "
SJM," $73,003.00 "
LB," $48,503.00 "
MAC," $8,001.00 "
M," $16,002.00 "
PPBI," $16,002.00 "
POL," $32,501.00 "
PFPT," $16,002.00 "
RPD, $-   
ROLL," $24,003.00 "
NOW," $56,007.00 "
SKY," $24,003.00 "
KHC," $80,507.00 "
UBSI," $48,006.00 "
WMGI," $24,003.00 "
CSQ," $8,001.00 "
FDL," $105,504.00 "
GSLC," $140,003.00 "
QQQ," $24,003.00 "
USMC," $32,501.00 "
DIA," $64,008.00 "
SPY," $48,503.00 "
SDY," $282,503.00 "
VDC," $270,007.00 "
VIG," $190,504.00 "
VPU," $162,505.00 "
CSCO," $250,019.00 "
SH," $115,521.00 "
RUN," $295,085.00 "
VSLR," $66,514.00 "
CTRCF," $8,001.00 "
CHD," $65,002.00 "
QGEN," $24,003.00 "
MBB," $8,001.00 "
IGLB," $8,001.00 "
IEMG," $8,001.00 "
EMXC," $8,001.00 "
IBDP, $-   
IBTD," $8,001.00 "
MDYG," $24,003.00 "
MDYV," $24,003.00 "
LCGFX, $-   
SGIIX," $75,001.00 "
CLX," $97,006.00 "
FNF," $56,504.00 "
FUND, $-   
STLA," $16,002.00 "
DEACU, $-   
BGFV," $65,002.00 "
PSNL," $40,502.00 "
SDC, $-   
LDOS," $72,506.00 "
TDDXX," $5,992,578.00 "
SQ," $201,019.00 "
CRYX," $8,001.00 "
GH," $48,006.00 "
AXHE," $8,001.00 "
AXTE," $8,001.00 "
NVS," $112,511.00 "
TRNO," $72,506.00 "
BBH," $8,001.00 "
CXW," $75,001.00 "
STAY," $8,001.00 "
BX," $154,007.00 "
CGC," $8,001.00 "
COP," $56,007.00 "
CIM, $-   
FEI, $-   
UAL," $24,003.00 "
ADP," $16,002.00 "
KRR, $-   
ALL," $65,002.00 "
BAFWX," $32,004.00 "
HP," $48,503.00 "
IMAX, $-   
VTR," $32,004.00 "
AEG," $8,001.00 "
ADM, $-   
DUK$A, $-   
FLO, $-   
MFC," $8,001.00 "
OXBR, $-   
PAA," $1,125,002.00 "
SCHZ," $75,001.00 "
TSN," $8,001.00 "
MMP, $-   
BRP," $6,000,001.00 "
VAR," $24,003.00 "
GOLD," $16,002.00 "
GNRC," $686,017.00 "
NRG, $-   
ESGD," $8,001.00 "
NUGL," $8,001.00 "
OWSMX," $107,502.00 "
LLY," $1,516,005.00 "
RF$A, $-   
AROC," $32,501.00 "
BKEP," $158,003.00 "
CEQP," $350,002.00 "
DCP," $250,002.00 "
GLOP," $175,001.00 "
GMLP," $150,002.00 "
MMLP," $32,501.00 "
MPLX," $2,050,004.00 "
NBLX," $350,002.00 "
SPH," $925,003.00 "
SMLP," $32,501.00 "
WES," $383,002.00 "
FIVE," $40,005.00 "
IAC, $-   
TMUSR," $2,002.00 "
BIPC," $2,002.00 "
DKNG," $85,022.00 "
CODYY, $-   
DPSGY, $-   
SVNLY, $-   
ABB," $48,006.00 "
TKOMY, $-   
AFRM," $16,002.00 "
ENPH," $8,001.00 "
SGEN," $16,002.00 "
TEX, $-   
UFPI," $16,002.00 "
EOG," $24,003.00 "
WRK.V, $-   
CARR," $64,008.00 "
ANET," $8,001.00 "
HWM," $8,001.00 "
TDG," $131,505.00 "
UAA," $16,002.00 "
DAIUF," $88,508.00 "
DAL," $40,005.00 "
EDIT," $40,005.00 "
FANUF," $32,004.00 "
LVMHF," $64,505.00 "
SPLK," $96,509.00 "
WFC$V," $40,502.00 "
ABNB," $8,001.00 "
SAM," $8,001.00 "
DRI," $8,001.00 "
EBS," $32,004.00 "
GRUB," $8,001.00 "
HUBS," $72,009.00 "
MELI," $64,505.00 "
MDB," $8,001.00 "
OCFC, $-   
SHOP," $16,002.00 "
SLAB," $8,001.00 "
TPR," $390,504.00 "
TWLO," $8,001.00 "
WSC," $32,004.00 "
GME, $-   
VXX," $32,501.00 "
AMZA," $550,002.00 "
USDP," $457,504.00 "
AGCO," $16,002.00 "
ALFY, $-   
AMRC," $105,007.00 "
AJG," $8,001.00 "
